actor_a,actor_b,weight
Carrie Fisher,Mark Hamill,3
Chris Rock,David Schwimmer,3
Michael B. Jordan,Tessa Thompson,3
Chris Hemsworth,Tom Hiddleston,3
Chris Rock,Jada Pinkett Smith,3
David Schwimmer,Jada Pinkett Smith,3
Amy Adams,Henry Cavill,3
Kareena Kapoor,Shahid Kapoor,3
Kirsten Dunst,Tobey Maguire,3
Jesse Eisenberg,Kristen Stewart,3
Gwyneth Paltrow,Robert Downey Jr.,3
Emma Thompson,Kenneth Branagh,3
Jason Statham,Vin Diesel,3
Akshay Kumar,Priyanka Chopra Jonas,3
Alex Winter,Keanu Reeves,3
Joaquin Phoenix,Rooney Mara,3
Lana Condor,Noah Centineo,3
Emily Perkins,Katharine Isabelle,3
Evangeline Lilly,Paul Rudd,3
Brad Pitt,Julia Roberts,3
Bae Doona,Song Kang-Ho,3
Danny Glover,Joe Pesci,3
James Mcavoy,Michael Fassbender,3
Joe Pesci,Mel Gibson,3
Owen Wilson,Vince Vaughn,3
Ryan Reynolds,Samuel L. Jackson,3
Andre Dussollier,Gerard Depardieu,3
Bradley Cooper,Ed Helms,3
Bradley Cooper,Justin Bartha,3
Keanu Reeves,Winona Ryder,3
Kate Bosworth,Kevin Spacey,3
Tony Leung Chiu-Wai,Ziyi Zhang,3
Bradley Cooper,Zach Galifianakis,3
Josh Duhamel,Shia Labeouf,3
Ed Helms,Justin Bartha,3
Daniel Craig,Judi Dench,3
Dylan O'Brien,Kaya Scodelario,3
Josh Duhamel,Tyrese Gibson,3
Justin Bartha,Zach Galifianakis,3
Maya Rudolph,Terry Crews,3
Takeshi Kaneshiro,Tony Leung Chiu-Wai,3
Boman Irani,Sanjay Dutt,3
Jennifer Lawrence,Michael Fassbender,3
Cate Blanchett,Matt Damon,3
Leslie Nielsen,O.J. Simpson,3
Ben Stiller,Robert De Niro,3
Kevin Spacey,Morgan Freeman,3
Shia Labeouf,Tyrese Gibson,3
Leslie Nielsen,Priscilla Presley,3
Shailene Woodley,Theo James,3
Emma Stone,Ryan Reynolds,3
O.J. Simpson,Priscilla Presley,3
Dwayne Johnson,Paul Walker,3
Kotono Mitsuishi,Yuko Miyamura,3
Jordana Brewster,Paul Walker,3
Ashley Judd,Morgan Freeman,3
Christian Bale,Michael Caine,3
Aishwarya Rai Bachchan,Hrithik Roshan,3
Audrey Tautou,Kelly Reilly,3
Dylan O'Brien,Thomas Brodie-Sangster,3
Liam Neeson,Ralph Fiennes,3
Amanda Peet,John Cusack,3
Elijah Wood,Ian Mckellen,3
Ben Stiller,Teri Polo,3
Elijah Wood,Orlando Bloom,3
Rob Brydon,Steve Coogan,3
Amitabh Bachchan,Shah Rukh Khan,3
Ian Mckellen,Orlando Bloom,3
Emma Stone,Ryan Gosling,3
Michael York,Mike Myers,3
Ian Mckellen,Patrick Stewart,3
Alyson Hannigan,Jason Biggs,3
Arnold Schwarzenegger,Linda Hamilton,3
Alyson Hannigan,Seann William Scott,3
Deepika Padukone,Ranbir Kapoor,3
Harvey Keitel,Robert De Niro,3
Jude Law,Natalie Portman,3
Robert De Niro,Teri Polo,3
Heather Langenkamp,Robert Englund,3
James Mcavoy,Jessica Chastain,3
Javier Bardem,Penelope Cruz,3
Lee Byung-Hun,Song Kang-Ho,3
Jude Law,Kate Winslet,3
Dian Bachar,Trey Parker,3
Laura Linney,Liam Neeson,3
Ian Mckellen,Martin Freeman,3
Ian Mckellen,Richard Armitage,3
Martin Freeman,Richard Armitage,3
John Cho,Kal Penn,3
Bryce Dallas Howard,Chris Pratt,3
Monica Bellucci,Vincent Cassel,3
Ben Stiller,Vince Vaughn,3
Kelly Reilly,Romain Duris,3
Anna Kendrick,Brittany Snow,3
Adam Sandler,Selena Gomez,3
Andy Samberg,Kevin James,3
Takeru Satoh,Yosuke Eguchi,3
Kaya Scodelario,Thomas Brodie-Sangster,3
Kevin James,Selena Gomez,3
Daisy Ridley,John Boyega,3
Jennifer Connelly,Russell Crowe,3
Dan Aykroyd,John Candy,3
Anna Kendrick,Rebel Wilson,3
Meg Ryan,Tom Hanks,3
Burt Young,Talia Shire,3
Dwayne Johnson,Jason Statham,3
Ayushmann Khurrana,Bhumi Pednekar,3
Famke Janssen,Liam Neeson,3
Famke Janssen,Maggie Grace,3
Liam Neeson,Maggie Grace,3
Katrina Kaif,Ranbir Kapoor,3
Colin Firth,Nicole Kidman,3
Danny Devito,Kathleen Turner,3
Nicole Kidman,Tom Cruise,3
Fares Fares,Nikolaj Lie Kaas,3
Dan Fogler,Eddie Redmayne,3
Kathleen Turner,Michael Douglas,3
Akshay Kumar,Sonakshi Sinha,3
Tommy Lee Jones,Will Smith,3
Akshay Kumar,Vidya Balan,3
Cem Yilmaz,Ozge Ozberk,3
Bill Moseley,Sheri Moon Zombie,3
Catherine Keener,Philip Seymour Hoffman,3
Halle Berry,Hugh Jackman,3
Irrfan Khan,Tabu,3
Akshay Kumar,Kareena Kapoor,3
Brittany Snow,Rebel Wilson,3
Navid Mohammadzadeh,Payman Maadi,3
Dan Aykroyd,Jamie Lee Curtis,3
Bill Moseley,Sid Haig,3
Bill Tung,Jackie Chan,3
Preity G Zinta,Shah Rukh Khan,3
Sheri Moon Zombie,Sid Haig,3
Christian Slater,Samantha Mathis,3
Angelina Jolie,Dustin Hoffman,3
Angelina Jolie,Jack Black,3
Dustin Hoffman,Jack Black,3
Cem Yilmaz,Ozkan Ugur,3
Diane Lane,Richard Gere,3
Brie Larson,Samuel L. Jackson,3
Adam Sandler,Drew Barrymore,3
Dave Goelz,Jerry Nelson,3
Gary Oldman,Tom Hardy,3
Altan Erkekli,Demet Akbag,3
Altan Erkekli,Yilmaz Erdogan,3
Demet Akbag,Yilmaz Erdogan,3
Deepika Padukone,Saif Ali Khan,3
Arshad Warsi,Boman Irani,3
Ana De Armas,Chris Evans,3
Aamir Khan,Rani Mukerji,3
Amy Adams,Philip Seymour Hoffman,3
Arshad Warsi,Sanjay Dutt,3
Dave Goelz,Steve Whitmire,3
Chris Evans,Chris Hemsworth,3
Chris Evans,Mark Ruffalo,3
Naomi Watts,Sean Penn,3
Jason Biggs,Seann William Scott,3
Chris Hemsworth,Robert Downey Jr.,3
Johnny Depp,Keira Knightley,3
Akio Otsuka,Atsuko Tanaka,3
Keira Knightley,Orlando Bloom,3
Amy Adams,Christian Bale,3
Pat Morita,Ralph Macchio,3
Brian O'Halloran,Jeff Anderson,3
John Goodman,Steve Buscemi,3
Denzel Washington,Kimberly Elise,3
Dave Goelz,Frank Oz,3
Dave Goelz,Jim Henson,3
Colin Firth,Mark Strong,3
Frank Oz,Jim Henson,3
Lena Endre,Michael Nyqvist,3
Lena Endre,Noomi Rapace,3
Michael Nyqvist,Noomi Rapace,3
Abhishek Bachchan,Amitabh Bachchan,3
Michelle Rodriguez,Paul Walker,3
Martin Lawrence,Will Smith,3
Hrithik Roshan,Priyanka Chopra Jonas,3
Cate Blanchett,Christian Bale,3
Mark Wahlberg,Will Ferrell,3
Liam Hemsworth,Woody Harrelson,3
Bruce Willis,Cole Hauser,3
Dwayne Johnson,Seann William Scott,3
Robert Capron,Zachary Gordon,3
Clint Eastwood,Sondra Locke,3
Abhishek Bachchan,Uday Chopra,3
Akshay Kumar,Lara Dutta,3
Diane Keaton,Steve Martin,3
Martin Short,Steve Martin,3
Andi Matichak,James Jude Courtney,3
Andi Matichak,Jamie Lee Curtis,3
James Jude Courtney,Jamie Lee Curtis,3
Daniel Auteuil,Gerard Depardieu,3
Gabrielle Union,Kevin Hart,3
Hayden Christensen,Natalie Portman,3
Adam Sandler,Jennifer Aniston,3
Masako Nozawa,Takeshi Kusao,3
Craig Robinson,Rob Corddry,3
Atsuko Tanaka,Koichi Yamadera,3
Jason Bateman,Jennifer Aniston,3
Eve,Ice Cube,3
Adam Sandler,Steve Buscemi,3
Charlize Theron,Chloe Grace Moretz,3
Ali Larter,Milla Jovovich,3
Rica Matsumoto,Veronica Taylor,3
Dolph Lundgren,Jean-Claude Van Damme,3
Ice Cube,Mike Epps,3
Alia Bhatt,Varun Dhawan,3
Betsy Russell,Costas Mandylor,3
Betsy Russell,Tobin Bell,3
Al Pacino,Robert De Niro,3
Akshay Kumar,Riteish Deshmukh,3
Matt Stone,Trey Parker,3
Deepika Padukone,John Abraham,3
Katrina Kaif,Salman Khan,3
Bubba Smith,David Graf,3
Bubba Smith,Michael Winslow,3
David Graf,Michael Winslow,3
David Graf,Steve Guttenberg,3
Michael Winslow,Steve Guttenberg,3
Richard Crenna,Sylvester Stallone,3
Kristen Stewart,Taylor Lautner,3
Robert Pattinson,Taylor Lautner,3
Jeff Daniel Phillips,Sheri Moon Zombie,3
Ata Demirer,Demet Akbag,2
Randeep Hooda,Salman Khan,2
Emily Blunt,Matt Damon,2
Dominic West,Imelda Staunton,2
Ata Demirer,Ozge Borak,2
Catherine Keener,Emma Stone,2
Catherine Keener,Nicolas Cage,2
Catherine Keener,Ryan Reynolds,2
Leslie Cheung,Tony Leung Chiu-Wai,2
Emma Stone,Nicolas Cage,2
Nicolas Cage,Ryan Reynolds,2
Ashley Judd,Harry Connick Jr.,2
Jennifer Ehle,Jude Law,2
Demet Akbag,Ozge Borak,2
Joseph Gordon-Levitt,Seth Rogen,2
Julianne Moore,Liam Neeson,2
Amanda Seyfried,Gary Oldman,2
Glenne Headly,Steve Martin,2
Brendan Gleeson,Colin Farrell,2
George Kennedy,Leslie Nielsen,2
Ciaran Hinds,Colin Farrell,2
George Kennedy,O.J. Simpson,2
George Kennedy,Priscilla Presley,2
Ethan Hawke,James Ransone,2
Danny Glover,Gary Busey,2
Beverly Todd,Morgan Freeman,2
Lisanne Falk,Winona Ryder,2
Leonardo Dicaprio,Meryl Streep,2
Michelle Williams,Paul Dano,2
Julia Roberts,Richard Gere,2
Jennifer Garner,Matthew Mcconaughey,2
Wesley Snipes,Woody Harrelson,2
Matthew Mcconaughey,Steve Zahn,2
Denzel Washington,Don Cheadle,2
Denzel Washington,John Goodman,2
Larry The Cable Guy,Owen Wilson,2
Jeff Bridges,Kevin Spacey,2
Anna Camp,Anna Kendrick,2
Anna Camp,Brittany Snow,2
Anna Camp,Rebel Wilson,2
Paprika Steen,Ulrich Thomsen,2
Ajay Devgn,Kajol,2
Beverly D'Angelo,Randy Quaid,2
Chevy Chase,Randy Quaid,2
Christopher Guest,Michael Mckean,2
Antonio Banderas,Carmen Maura,2
Antonio Banderas,Julieta Serrano,2
Colin Firth,Reese Witherspoon,2
Katrina Kaif,Shah Rukh Khan,2
Akshay Kumar,Mithun Chakraborty,2
James Mcavoy,Viola Davis,2
Angelina Jolie,Robert De Niro,2
Jessica Chastain,Viola Davis,2
Ajay Devgn,Rakul Preet Singh,2
Doug Jones,Ron Perlman,2
Doug Jones,Selma Blair,2
Emily Mortimer,Michael Caine,2
Madhavan,Nassar,2
Alicia Vikander,Dominic West,2
Kate Winslet,Theo James,2
Ron Perlman,Selma Blair,2
Arnold Vosloo,Brendan Fraser,2
Arnold Vosloo,John Hannah,2
Jon Voight,Will Smith,2
Aishwarya Rai Bachchan,Shah Rukh Khan,2
Demet Akbag,Haluk Bilginer,2
Arnold Vosloo,Rachel Weisz,2
Brendan Fraser,John Hannah,2
Madhuri Dixit,Shah Rukh Khan,2
Brendan Fraser,Rachel Weisz,2
John Hannah,Rachel Weisz,2
Nawazuddin Siddiqui,Vidya Balan,2
Ahmet Kural,Devrim Yakut,2
Hugh Jackman,Scarlett Johansson,2
Ahmet Kural,Rasim Oztekin,2
Devrim Yakut,Murat Cemcir,2
Christopher Lloyd,Lea Thompson,2
Hugh Jackman,Michelle Williams,2
Devrim Yakut,Rasim Oztekin,2
Lea Thompson,Michael J. Fox,2
Murat Cemcir,Rasim Oztekin,2
Christopher Reeve,Margot Kidder,2
Ben Affleck,Rachel Mcadams,2
Alessandro Nivola,Anna Friel,2
Joaquin Phoenix,Vince Vaughn,2
Charlize Theron,John Lithgow,2
Maria Valverde,Marina Salas,2
Emily Blunt,John Krasinski,2
Emily Blunt,Millicent Simmonds,2
Carrie Keranen,Hiroaki Iwanaga,2
Nicoletta Braschi,Tom Waits,2
Carrie Keranen,Takahiro Sakurai,2
Jamie Foxx,Kerry Washington,2
Hiroaki Iwanaga,Takahiro Sakurai,2
Ajith Kumar,Nayanthara,2
Chazz Palminteri,Kevin Spacey,2
John Krasinski,Millicent Simmonds,2
Eddie Murphy,Judge Reinhold,2
Lily Franky,Yoko Maki,2
Brigitte Lin,Maggie Cheung,2
Adrien Brody,Thomas Kretschmann,2
Danny Aiello,Jeff Daniels,2
Akshaye Khanna,Saif Ali Khan,2
Preity G Zinta,Saif Ali Khan,2
Greg Kinnear,Matt Damon,2
Anne Hathaway,Jesse Eisenberg,2
Chang Chen,Ziyi Zhang,2
Kareena Kapoor,Nawazuddin Siddiqui,2
Mads Mikkelsen,Paprika Steen,2
Nawazuddin Siddiqui,Salman Khan,2
Mads Mikkelsen,Ulrich Thomsen,2
Michelle Yeoh,Ziyi Zhang,2
C. Thomas Howell,Patrick Swayze,2
Amy Poehler,Will Arnett,2
Charlize Theron,Keanu Reeves,2
Glenn Close,Robert Duvall,2
Maria Valverde,Mario Casas,2
Kevin Spacey,Samuel L. Jackson,2
Alicia Silverstone,Benicio Del Toro,2
Biao Yuen,Jackie Chan,2
Kirron Kher,Rani Mukerji,2
Kirron Kher,Shah Rukh Khan,2
Ajay Devgn,Arshad Warsi,2
Biao Yuen,Sammo Kam-Bo Hung,2
Anna Faris,Bill Hader,2
Amanda Seyfried,Russell Crowe,2
Jackie Chan,Sammo Kam-Bo Hung,2
Barbara Crampton,Jeffrey Combs,2
Anthony Hopkins,Hope Davis,2
Irrfan Khan,Konkona Sen Sharma,2
Bruce Abbott,Jeffrey Combs,2
Marina Salas,Mario Casas,2
Elizabeth Banks,Paul Giamatti,2
Sergey Bodrov,Viktor Sukhorukov,2
Charlie Sheen,Corbin Bernsen,2
Anita Mui,Jackie Chan,2
Anton Yelchin,Hope Davis,2
Soubin Shahir,Sreenath Bhasi,2
Alessandro Nivola,Kuno Becker,2
Binnur Kaya,Engin Gunaydin,2
Ajay Devgn,Saif Ali Khan,2
Blanca Portillo,Penelope Cruz,2
Amitabh Bachchan,Taapsee Pannu,2
Corbin Bernsen,Tom Berenger,2
Jagapathi Babu,Rajendra Prasad,2
Ewan Mcgregor,Naomi Watts,2
Lupita Nyong'O,Winston Duke,2
Christian Clavier,Gerard Depardieu,2
Diane Kruger,Justin Bartha,2
Diane Kruger,Nicolas Cage,2
James Karen,Thom Mathews,2
Ayushmann Khurrana,Kumud Mishra,2
Ayushmann Khurrana,Manoj Pahwa,2
Janhvi Kapoor,Manoj Pahwa,2
Kumud Mishra,Manoj Pahwa,2
Julie Delpy,Zbigniew Zamachowski,2
Kayoko Kishimoto,Takeshi Kitano,2
Andy Lau,Takeshi Kaneshiro,2
Frances Conroy,Robert De Niro,2
Bette Midler,Kathy Najimy,2
David Dorfman,Naomi Watts,2
Justin Bartha,Nicolas Cage,2
Bette Midler,Sarah Jessica Parker,2
Andrew Scott,Jessica Brown Findlay,2
Guven Kirac,Haluk Bilginer,2
Adam Sandler,Julie Bowen,2
Holly Hunter,John Goodman,2
Kathy Najimy,Sarah Jessica Parker,2
Jerry Nelson,Steve Whitmire,2
Daniel Auteuil,Yves Montand,2
Andrew Scott,Tom Wilkinson,2
John Goodman,Nicolas Cage,2
Anna Friel,Kuno Becker,2
Amy Adams,Michael Shannon,2
Ken'Ichi Matsuyama,Tatsuya Fujiwara,2
Amy Smart,Jason Statham,2
Michael Pena,Rosa Salazar,2
Anthony Hopkins,Brad Pitt,2
Joseph Vijay,Keerthy Suresh,2
Anna Faris,Ryan Reynolds,2
Rene Russo,Robert De Niro,2
Naseeruddin Shah,Shweta Basu Prasad,2
Aya Hisakawa,Masako Nozawa,2
Aya Hisakawa,Ryo Horikawa,2
Ileana D'Cruz,Saurabh Shukla,2
Masako Nozawa,Toshio Furukawa,2
Hitomi Sato,Miki Nakatani,2
Isabelle Huppert,Jean-Louis Trintignant,2
Jason Segel,Rashida Jones,2
Dennis Quaid,Josh Gad,2
Udo Kier,Willem Dafoe,2
Dennis Quaid,Marg Helgenberger,2
Olivia Colman,Rachel Weisz,2
Anupam Kher,Naseeruddin Shah,2
Gwyneth Paltrow,Matt Damon,2
Jude Law,Matt Damon,2
Jeremy Renner,Jon Hamm,2
Amrish Puri,Sunny Deol,2
Sam Neill,Willem Dafoe,2
Fabrizio Rongione,Jeremie Renier,2
Jada Pinkett Smith,Queen Latifah,2
Kelly Mcgillis,Val Kilmer,2
Moon So-Ri,Sol Kyung-Gu,2
Emma Stone,Steve Carell,2
Tim Robbins,Tom Cruise,2
Julianne Moore,Steve Carell,2
Ian Mcshane,Keanu Reeves,2
Jodie Foster,Mel Gibson,2
Aamir Khan,Sharman Joshi,2
Alicia Silverstone,Christopher Walken,2
Christian Tramitz,Michael Herbig,2
Annu Kapoor,Ayushmann Khurrana,2
Anthony Hopkins,Gary Oldman,2
Morgan Freeman,Robert Redford,2
Ayushmann Khurrana,Yami Gautam,2
Demi Moore,Michael Caine,2
Scarlett Johansson,Tom Wilkinson,2
Cate Blanchett,Leonardo Dicaprio,2
Chris Pine,Olivia Wilde,2
Ulrich Muhe,Ulrich Tukur,2
Akshay Kumar,Suniel Shetty,2
Paresh Rawal,Suniel Shetty,2
Anna Chlumsky,Dan Aykroyd,2
Kristin Scott Thomas,Maggie Smith,2
Adivi Sesh,Prakash Raj,2
Ben Stiller,Blythe Danner,2
Annette Bening,Elle Fanning,2
Maggie Smith,Michael Gambon,2
Alain Hernandez,Mario Casas,2
Billy Crudup,Greta Gerwig,2
Dustin Hoffman,Rachel Weisz,2
Keanu Reeves,Rachel Weisz,2
Blythe Danner,Robert De Niro,2
Blythe Danner,Teri Polo,2
Aishwarya Rai Bachchan,Ajay Devgn,2
Anna Chlumsky,Jamie Lee Curtis,2
Amrish Puri,Anil Kapoor,2
Jessica Chastain,Sam Worthington,2
Christian Slater,Kevin Costner,2
Alia Bhatt,Ranveer Singh,2
Ben Affleck,Chris Messina,2
Alia Bhatt,Vijay Raaz,2
Ben Affleck,Jason Bateman,2
Denzel Washington,Liev Schreiber,2
Nikolaj Lie Kaas,Søren Pilmark,2
Ansiba,Meena,2
Ansiba,Mohanlal,2
Jason Bateman,Jennifer Garner,2
Nikolaj Lie Kaas,Ulrich Thomsen,2
Meena,Mohanlal,2
Dhanush,Prakash Raj,2
Audrey Tautou,Gad Elmaleh,2
Cem Yilmaz,Mazhar Alanson,2
Christian Slater,Morgan Freeman,2
Charlie Sheen,Lloyd Bridges,2
Fares Fares,Torkel Petersson,2
Anushka Sharma,Ranveer Singh,2
Charlie Sheen,Valeria Golino,2
Shahab Hosseini,Taraneh Alidoosti,2
Donnie Yen,Lynn Xiong,2
Donnie Yen,Sammo Kam-Bo Hung,2
Anthony Hopkins,Helen Mirren,2
Joseph Vijay,Kajal Aggarwal,2
Lloyd Bridges,Valeria Golino,2
Hector Alterio,Norma Aleandro,2
Anya Taylor-Joy,Charlie Heaton,2
Ozan Guven,Zafer Algoz,2
Diljit Dosanjh,Kareena Kapoor,2
Deepak Dobriyal,Irrfan Khan,2
Catherine O'Hara,Christopher Guest,2
Catherine O'Hara,Parker Posey,2
Casey Affleck,Rooney Mara,2
Christopher Guest,Parker Posey,2
Amitabh Bachchan,Hrithik Roshan,2
Elyas M'Barek,Karoline Herfurth,2
Ajay Devgn,Akshay Kumar,2
Ajay Devgn,Amitabh Bachchan,2
Hrithik Roshan,Preity G Zinta,2
James Franco,Kirsten Dunst,2
James Franco,Tobey Maguire,2
Angelina Jolie,Elle Fanning,2
Dwayne Johnson,Jack Black,2
Amitabh Bachchan,Rani Mukerji,2
Dwayne Johnson,Karen Gillan,2
David Duchovny,Gillian Anderson,2
Benno Furmann,Franka Potente,2
Jack Black,Karen Gillan,2
Jason Mewes,Jeff Anderson,2
Jack Black,Kevin Hart,2
Karen Gillan,Kevin Hart,2
Giancarlo Esposito,Tim Robbins,2
Elyas M'Barek,Katja Riemann,2
Josh Duhamel,Megan Fox,2
Hrithik Roshan,Rekha,2
Juliette Lewis,Tom Sizemore,2
Matthew Mcconaughey,Reese Witherspoon,2
Matthew Mcconaughey,Scarlett Johansson,2
Reese Witherspoon,Scarlett Johansson,2
Megan Fox,Shia Labeouf,2
Megan Fox,Tyrese Gibson,2
Joseph Vijay,Prakash Raj,2
Sener Sen,Sermin Hurmeric,2
Sener Sen,Ugur Yucel,2
Sermin Hurmeric,Ugur Yucel,2
Clive Owen,Julia Roberts,2
Akshay Kumar,Bhumi Pednekar,2
Emily Mortimer,Max Martini,2
Jamie Foxx,Robert Downey Jr.,2
Robert De Niro,Sylvester Stallone,2
Brad Pitt,Melanie Laurent,2
Goldie Hawn,Kurt Russell,2
Karoline Herfurth,Katja Riemann,2
Adam Deacon,Noel Clarke,2
Jennifer Connelly,Miles Teller,2
Angela Bassett,Laurence Fishburne,2
Ayushmann Khurrana,Gajraj Rao,2
Ayushmann Khurrana,Neena Gupta,2
Tom Cruise,Val Kilmer,2
Manjot Singh,Pulkit Samrat,2
Benedict Cumberbatch,Benedict Wong,2
Manjot Singh,Varun Sharma,2
Gajraj Rao,Neena Gupta,2
Pulkit Samrat,Varun Sharma,2
Benedict Cumberbatch,Chiwetel Ejiofor,2
Pilou Asbæk,Søren Malling,2
Benedict Wong,Chiwetel Ejiofor,2
Lake Bell,Rob Corddry,2
Jesse Eisenberg,Mark Ruffalo,2
Mark Ruffalo,Woody Harrelson,2
Linda Hunt,Mel Gibson,2
Jonny Lee Miller,Robert Carlyle,2
Natalie Portman,Tom Hiddleston,2
Kevin Kline,Steve Martin,2
Colin Firth,Taron Egerton,2
Natalie Portman,Stellan Skarsgard,2
