person,film,role
Manaswani Takri,"('Daman', 2022)",actor
Lenka Debiprasad,"('Daman', 2022)",director
Vishal Mourya,"('Daman', 2022)",director
John Travolta,"('Pulp Fiction', 1994)",actor
Uma Thurman,"('Pulp Fiction', 1994)",actor
Samuel L. Jackson,"('Pulp Fiction', 1994)",actor
Bruce Willis,"('Pulp Fiction', 1994)",actor
Quentin Tarantino,"('Pulp Fiction', 1994)",director
Brad Pitt,"('Fight Club', 1999)",actor
Edward Norton,"('Fight Club', 1999)",actor
Meat Loaf,"('Fight Club', 1999)",actor
Zach Grenier,"('Fight Club', 1999)",actor
David Fincher,"('Fight Club', 1999)",director
Elijah Wood,"('The Lord of the Rings: The Fellowship of the Ring', 2001)",actor
Ian Mckellen,"('The Lord of the Rings: The Fellowship of the Ring', 2001)",actor
Orlando Bloom,"('The Lord of the Rings: The Fellowship of the Ring', 2001)",actor
Sean Bean,"('The Lord of the Rings: The Fellowship of the Ring', 2001)",actor
Peter Jackson,"('The Lord of the Rings: The Fellowship of the Ring', 2001)",director
Leonardo Dicaprio,"('Inception', 2010)",actor
Joseph Gordon-Levitt,"('Inception', 2010)",actor
Elliot Page,"('Inception', 2010)",actor
Ken Watanabe,"('Inception', 2010)",actor
Christopher Nolan,"('Inception', 2010)",director
Tom Hanks,"('Forrest Gump', 1994)",actor
Robin Wright,"('Forrest Gump', 1994)",actor
Gary Sinise,"('Forrest Gump', 1994)",actor
Sally Field,"('Forrest Gump', 1994)",actor
Robert Zemeckis,"('Forrest Gump', 1994)",director
Elijah Wood,"('The Lord of the Rings: The Two Towers', 2002)",actor
Ian Mckellen,"('The Lord of the Rings: The Two Towers', 2002)",actor
Viggo Mortensen,"('The Lord of the Rings: The Two Towers', 2002)",actor
Orlando Bloom,"('The Lord of the Rings: The Two Towers', 2002)",actor
Peter Jackson,"('The Lord of the Rings: The Two Towers', 2002)",director
Suriya,"('Jai Bhim', 2021)",actor
Lijo Mol Jose,"('Jai Bhim', 2021)",actor
Manikandan K.,"('Jai Bhim', 2021)",actor
Rajisha Vijayan,"('Jai Bhim', 2021)",actor
T.J. Gnanavel,"('Jai Bhim', 2021)",director
Uma Thurman,"('Kill Bill: The Whole Bloody Affair', 2006)",actor
Lucy Liu,"('Kill Bill: The Whole Bloody Affair', 2006)",actor
Vivica A. Fox,"('Kill Bill: The Whole Bloody Affair', 2006)",actor
Michael Madsen,"('Kill Bill: The Whole Bloody Affair', 2006)",actor
Quentin Tarantino,"('Kill Bill: The Whole Bloody Affair', 2006)",director
Rakshit Shetty,"('777 Charlie', 2022)",actor
Charlie,"('777 Charlie', 2022)",actor
Sangeetha Sringeri,"('777 Charlie', 2022)",actor
Raj B. Shetty,"('777 Charlie', 2022)",actor
Kiranraj K,"('777 Charlie', 2022)",director
Shobana,"('Manichithrathazhu', 1993)",actor
Mohanlal,"('Manichithrathazhu', 1993)",actor
Suresh Gopi,"('Manichithrathazhu', 1993)",actor
Vinaya Prasad,"('Manichithrathazhu', 1993)",actor
Fazil,"('Manichithrathazhu', 1993)",director
Indrans,"('#Home', 2021)",actor
Sreenath Bhasi,"('#Home', 2021)",actor
Manju Pillai,"('#Home', 2021)",actor
Naslen,"('#Home', 2021)",actor
Rojin Thomas,"('#Home', 2021)",director
Danilo 'Bata' Stojkovic,"('Balkan Spy', 1984)",actor
Bora Todorovic,"('Balkan Spy', 1984)",actor
Mira Banjac,"('Balkan Spy', 1984)",actor
Sonja Savic,"('Balkan Spy', 1984)",actor
Dusan Kovacevic,"('Balkan Spy', 1984)",director
Bozidar 'Bota' Nikolic,"('Balkan Spy', 1984)",director
Bogdan Diklic,"('Maratonci trce pocasni krug', 1982)",actor
Danilo 'Bata' Stojkovic,"('Maratonci trce pocasni krug', 1982)",actor
Pavle Vuisic,"('Maratonci trce pocasni krug', 1982)",actor
Mija Aleksic,"('Maratonci trce pocasni krug', 1982)",actor
Slobodan Sijan,"('Maratonci trce pocasni krug', 1982)",director
Shameik Moore,"('Spider-Man: Across the Spider-Verse', 2023)",actor
Hailee Steinfeld,"('Spider-Man: Across the Spider-Verse', 2023)",actor
Brian Tyree Henry,"('Spider-Man: Across the Spider-Verse', 2023)",actor
Luna Lauren Velez,"('Spider-Man: Across the Spider-Verse', 2023)",actor
Joaquim Dos Santos,"('Spider-Man: Across the Spider-Verse', 2023)",director
Kemp Powers,"('Spider-Man: Across the Spider-Verse', 2023)",director
Justin K. Thompson,"('Spider-Man: Across the Spider-Verse', 2023)",director
Matthew Mcconaughey,"('Interstellar', 2014)",actor
Anne Hathaway,"('Interstellar', 2014)",actor
Jessica Chastain,"('Interstellar', 2014)",actor
Mackenzie Foy,"('Interstellar', 2014)",actor
Christopher Nolan,"('Interstellar', 2014)",director
Robert De Niro,"('Goodfellas', 1990)",actor
Ray Liotta,"('Goodfellas', 1990)",actor
Joe Pesci,"('Goodfellas', 1990)",actor
Lorraine Bracco,"('Goodfellas', 1990)",actor
Martin Scorsese,"('Goodfellas', 1990)",director
Keanu Reeves,"('The Matrix', 1999)",actor
Laurence Fishburne,"('The Matrix', 1999)",actor
Carrie-Anne Moss,"('The Matrix', 1999)",actor
Hugo Weaving,"('The Matrix', 1999)",actor
Lana Wachowski,"('The Matrix', 1999)",director
Lilly Wachowski,"('The Matrix', 1999)",director
Mark Hamill,"('Star Wars: Episode V - The Empire Strikes Back', 1980)",actor
Harrison Ford,"('Star Wars: Episode V - The Empire Strikes Back', 1980)",actor
Carrie Fisher,"('Star Wars: Episode V - The Empire Strikes Back', 1980)",actor
Billy Dee Williams,"('Star Wars: Episode V - The Empire Strikes Back', 1980)",actor
Irvin Kershner,"('Star Wars: Episode V - The Empire Strikes Back', 1980)",director
Milan Maric,"('Toma', 2021)",actor
Tamara Dragicevic,"('Toma', 2021)",actor
Petar Bencina,"('Toma', 2021)",actor
Andrija Kuzmanovic,"('Toma', 2021)",actor
Dragan Bjelogrlic,"('Toma', 2021)",director
Zoran Lisinac,"('Toma', 2021)",director
Madhavan,"('Rocketry: The Nambi Effect', 2022)",actor
Simran,"('Rocketry: The Nambi Effect', 2022)",actor
Rajit Kapoor,"('Rocketry: The Nambi Effect', 2022)",actor
Ravi Raghavendra,"('Rocketry: The Nambi Effect', 2022)",actor
Madhavan,"('Rocketry: The Nambi Effect', 2022)",director
Fawad Khan,"('The Legend of Maula Jatt', 2022)",actor
Mahira Khan,"('The Legend of Maula Jatt', 2022)",actor
Humaima Malik,"('The Legend of Maula Jatt', 2022)",actor
Hamza Ali Abbasi,"('The Legend of Maula Jatt', 2022)",actor
Bilal Lashari,"('The Legend of Maula Jatt', 2022)",director
Suriya,"('Soorarai Pottru', 2020)",actor
Paresh Rawal,"('Soorarai Pottru', 2020)",actor
Aparna Balamurali,"('Soorarai Pottru', 2020)",actor
Urvashi,"('Soorarai Pottru', 2020)",actor
Sudha Kongara,"('Soorarai Pottru', 2020)",director
Pavle Vuisic,"(""Who's Singin' Over There?"", 1980)",actor
Dragan Nikolic,"(""Who's Singin' Over There?"", 1980)",actor
Danilo 'Bata' Stojkovic,"(""Who's Singin' Over There?"", 1980)",actor
Aleksandar Bercek,"(""Who's Singin' Over There?"", 1980)",actor
Slobodan Sijan,"(""Who's Singin' Over There?"", 1980)",director
Kathir,"('Pariyerum Perumal', 2018)",actor
Anandhi,"('Pariyerum Perumal', 2018)",actor
Yogi Babu,"('Pariyerum Perumal', 2018)",actor
Lijeesh,"('Pariyerum Perumal', 2018)",actor
Mari Selvaraj,"('Pariyerum Perumal', 2018)",director
Mammootty,"('Peranbu', 2018)",actor
Sadhana,"('Peranbu', 2018)",actor
Anjali,"('Peranbu', 2018)",actor
Anjali Ameer,"('Peranbu', 2018)",actor
Ram,"('Peranbu', 2018)",director
Sener Sen,"('Zügürt Aga', 1985)",actor
Erdal Ozyagcilar,"('Zügürt Aga', 1985)",actor
Nilgun Nazli,"('Zügürt Aga', 1985)",actor
Fusun Demirel,"('Zügürt Aga', 1985)",actor
Nesli Colgecen,"('Zügürt Aga', 1985)",director
Cillian Murphy,"('Oppenheimer', 2023)",actor
Emily Blunt,"('Oppenheimer', 2023)",actor
Matt Damon,"('Oppenheimer', 2023)",actor
Robert Downey Jr.,"('Oppenheimer', 2023)",actor
Christopher Nolan,"('Oppenheimer', 2023)",director
Morgan Freeman,"('Se7en', 1995)",actor
Brad Pitt,"('Se7en', 1995)",actor
Kevin Spacey,"('Se7en', 1995)",actor
Andrew Kevin Walker,"('Se7en', 1995)",actor
David Fincher,"('Se7en', 1995)",director
Jodie Foster,"('The Silence of the Lambs', 1991)",actor
Anthony Hopkins,"('The Silence of the Lambs', 1991)",actor
Lawrence A. Bonney,"('The Silence of the Lambs', 1991)",actor
Kasi Lemmons,"('The Silence of the Lambs', 1991)",actor
Jonathan Demme,"('The Silence of the Lambs', 1991)",director
Tom Hanks,"('Saving Private Ryan', 1998)",actor
Matt Damon,"('Saving Private Ryan', 1998)",actor
Tom Sizemore,"('Saving Private Ryan', 1998)",actor
Edward Burns,"('Saving Private Ryan', 1998)",actor
Steven Spielberg,"('Saving Private Ryan', 1998)",director
Tom Hanks,"('The Green Mile', 1999)",actor
Michael Clarke Duncan,"('The Green Mile', 1999)",actor
David Morse,"('The Green Mile', 1999)",actor
Bonnie Hunt,"('The Green Mile', 1999)",actor
Frank Darabont,"('The Green Mile', 1999)",director
Daveigh Chase,"('Spirited Away', 2001)",actor
Suzanne Pleshette,"('Spirited Away', 2001)",actor
Miyu Irino,"('Spirited Away', 2001)",actor
Rumi Hiiragi,"('Spirited Away', 2001)",actor
Hayao Miyazaki,"('Spirited Away', 2001)",director
Arnold Schwarzenegger,"('Terminator 2: Judgment Day', 1991)",actor
Linda Hamilton,"('Terminator 2: Judgment Day', 1991)",actor
Edward Furlong,"('Terminator 2: Judgment Day', 1991)",actor
Robert Patrick,"('Terminator 2: Judgment Day', 1991)",actor
James Cameron,"('Terminator 2: Judgment Day', 1991)",director
Alexandre Rodrigues,"('City of God', 2002)",actor
Leandro Firmino,"('City of God', 2002)",actor
Matheus Nachtergaele,"('City of God', 2002)",actor
Phellipe Haagensen,"('City of God', 2002)",actor
Fernando Meirelles,"('City of God', 2002)",director
Katia Lund,"('City of God', 2002)",director
Roberto Benigni,"('Life Is Beautiful', 1997)",actor
Nicoletta Braschi,"('Life Is Beautiful', 1997)",actor
Giorgio Cantarini,"('Life Is Beautiful', 1997)",actor
Giustino Durano,"('Life Is Beautiful', 1997)",actor
Roberto Benigni,"('Life Is Beautiful', 1997)",director
Mithun Chakraborty,"('The Kashmir Files', 2022)",actor
Anupam Kher,"('The Kashmir Files', 2022)",actor
Darshan Kumaar,"('The Kashmir Files', 2022)",actor
Pallavi Joshi,"('The Kashmir Files', 2022)",actor
Vivek Agnihotri,"('The Kashmir Files', 2022)",director
Dulquer Salmaan,"('Sita Ramam', 2022)",actor
Mrunal Thakur,"('Sita Ramam', 2022)",actor
Rashmika Mandanna,"('Sita Ramam', 2022)",actor
Sumanth,"('Sita Ramam', 2022)",actor
Hanu Raghavapudi,"('Sita Ramam', 2022)",director
Matheus Nachtergaele,"(""A Dog's Will"", 2000)",actor
Selton Mello,"(""A Dog's Will"", 2000)",actor
Rogerio Cardoso,"(""A Dog's Will"", 2000)",actor
Denise Fraga,"(""A Dog's Will"", 2000)",actor
Guel Arraes,"(""A Dog's Will"", 2000)",director
Dragan Bjelogrlic,"('Pretty Village, Pretty Flame', 1996)",actor
Nikola Kojo,"('Pretty Village, Pretty Flame', 1996)",actor
Dragan Maksimovic,"('Pretty Village, Pretty Flame', 1996)",actor
Zoran Cvijanovic,"('Pretty Village, Pretty Flame', 1996)",actor
Srdjan Dragojevic,"('Pretty Village, Pretty Flame', 1996)",director
Kamal Haasan,"('Nayakan', 1987)",actor
Saranya Ponvannan,"('Nayakan', 1987)",actor
Delhi Ganesh,"('Nayakan', 1987)",actor
Janakaraj,"('Nayakan', 1987)",actor
Mani Ratnam,"('Nayakan', 1987)",director
Kamal Haasan,"('Anbe Sivam', 2003)",actor
Madhavan,"('Anbe Sivam', 2003)",actor
Kiran Rathod,"('Anbe Sivam', 2003)",actor
Nassar,"('Anbe Sivam', 2003)",actor
Sundar C.,"('Anbe Sivam', 2003)",director
Russell Crowe,"('Gladiator', 2000)",actor
Joaquin Phoenix,"('Gladiator', 2000)",actor
Connie Nielsen,"('Gladiator', 2000)",actor
Oliver Reed,"('Gladiator', 2000)",actor
Ridley Scott,"('Gladiator', 2000)",director
Leonardo Dicaprio,"('The Departed', 2006)",actor
Matt Damon,"('The Departed', 2006)",actor
Jack Nicholson,"('The Departed', 2006)",actor
Mark Wahlberg,"('The Departed', 2006)",actor
Martin Scorsese,"('The Departed', 2006)",director
Song Kang-Ho,"('Parasite', 2019)",actor
Lee Sun-Kyun,"('Parasite', 2019)",actor
Cho Yeo-Jeong,"('Parasite', 2019)",actor
Choi Woo-Sik,"('Parasite', 2019)",actor
Bong Joon Ho,"('Parasite', 2019)",director
Christian Bale,"('The Prestige', 2006)",actor
Hugh Jackman,"('The Prestige', 2006)",actor
Scarlett Johansson,"('The Prestige', 2006)",actor
Michael Caine,"('The Prestige', 2006)",actor
Christopher Nolan,"('The Prestige', 2006)",director
Michael J. Fox,"('Back to the Future', 1985)",actor
Christopher Lloyd,"('Back to the Future', 1985)",actor
Lea Thompson,"('Back to the Future', 1985)",actor
Crispin Glover,"('Back to the Future', 1985)",actor
Robert Zemeckis,"('Back to the Future', 1985)",director
Miles Teller,"('Whiplash', 2014)",actor
J.K. Simmons,"('Whiplash', 2014)",actor
Melissa Benoist,"('Whiplash', 2014)",actor
Paul Reiser,"('Whiplash', 2014)",actor
Damien Chazelle,"('Whiplash', 2014)",director
Jean Reno,"('Léon: The Professional', 1994)",actor
Gary Oldman,"('Léon: The Professional', 1994)",actor
Natalie Portman,"('Léon: The Professional', 1994)",actor
Danny Aiello,"('Léon: The Professional', 1994)",actor
Luc Besson,"('Léon: The Professional', 1994)",director
Jamie Foxx,"('Django Unchained', 2012)",actor
Christoph Waltz,"('Django Unchained', 2012)",actor
Leonardo Dicaprio,"('Django Unchained', 2012)",actor
Kerry Washington,"('Django Unchained', 2012)",actor
Quentin Tarantino,"('Django Unchained', 2012)",director
Kevin Spacey,"('The Usual Suspects', 1995)",actor
Gabriel Byrne,"('The Usual Suspects', 1995)",actor
Chazz Palminteri,"('The Usual Suspects', 1995)",actor
Stephen Baldwin,"('The Usual Suspects', 1995)",actor
Bryan Singer,"('The Usual Suspects', 1995)",director
Matthew Broderick,"('The Lion King', 1994)",actor
Jeremy Irons,"('The Lion King', 1994)",actor
James Earl Jones,"('The Lion King', 1994)",actor
Whoopi Goldberg,"('The Lion King', 1994)",actor
Roger Allers,"('The Lion King', 1994)",director
Rob Minkoff,"('The Lion King', 1994)",director
Adrien Brody,"('The Pianist', 2002)",actor
Thomas Kretschmann,"('The Pianist', 2002)",actor
Frank Finlay,"('The Pianist', 2002)",actor
Emilia Fox,"('The Pianist', 2002)",actor
Roman Polanski,"('The Pianist', 2002)",director
Edward Norton,"('American History X', 1998)",actor
Edward Furlong,"('American History X', 1998)",actor
Beverly D'Angelo,"('American History X', 1998)",actor
Jennifer Lien,"('American History X', 1998)",actor
Tony Kaye,"('American History X', 1998)",director
Philippe Noiret,"('Cinema Paradiso', 1988)",actor
Enzo Cannavale,"('Cinema Paradiso', 1988)",actor
Antonella Attili,"('Cinema Paradiso', 1988)",actor
Isa Danieli,"('Cinema Paradiso', 1988)",actor
Giuseppe Tornatore,"('Cinema Paradiso', 1988)",director
Francois Cluzet,"('The Intouchables', 2011)",actor
Omar Sy,"('The Intouchables', 2011)",actor
Anne Le Ny,"('The Intouchables', 2011)",actor
Audrey Fleurot,"('The Intouchables', 2011)",actor
Olivier Nakache,"('The Intouchables', 2011)",director
Eric Toledano,"('The Intouchables', 2011)",director
Tsutomu Tatsumi,"('Grave of the Fireflies', 1988)",actor
Ayano Shiraishi,"('Grave of the Fireflies', 1988)",actor
Akemi Yamaguchi,"('Grave of the Fireflies', 1988)",actor
Yoshiko Shinohara,"('Grave of the Fireflies', 1988)",actor
Isao Takahata,"('Grave of the Fireflies', 1988)",director
Vijay Sethupathi,"('96', 2018)",actor
Adithya Bhaskar,"('96', 2018)",actor
Trisha Krishnan,"('96', 2018)",actor
Gouri Kishan,"('96', 2018)",actor
C. Prem Kumar,"('96', 2018)",director
Luigi Lo Cascio,"('The Best of Youth', 2003)",actor
Alessio Boni,"('The Best of Youth', 2003)",actor
Jasmine Trinca,"('The Best of Youth', 2003)",actor
Adriana Asti,"('The Best of Youth', 2003)",actor
Marco Tullio Giordana,"('The Best of Youth', 2003)",director
Shane Nigam,"('Kumbalangi Nights', 2019)",actor
Soubin Shahir,"('Kumbalangi Nights', 2019)",actor
Fahadh Faasil,"('Kumbalangi Nights', 2019)",actor
Sreenath Bhasi,"('Kumbalangi Nights', 2019)",actor
Madhu C. Narayanan,"('Kumbalangi Nights', 2019)",director
Arya,"('Sarpatta Parambarai', 2021)",actor
Pasupathy,"('Sarpatta Parambarai', 2021)",actor
John Kokken,"('Sarpatta Parambarai', 2021)",actor
Shabeer Kallarakkal,"('Sarpatta Parambarai', 2021)",actor
Pa. Ranjith,"('Sarpatta Parambarai', 2021)",director
Nani,"('Jersey', 2019)",actor
Shraddha Srinath,"('Jersey', 2019)",actor
Sathyaraj,"('Jersey', 2019)",actor
Ronit Kamra,"('Jersey', 2019)",actor
Gowtam Tinnanuri,"('Jersey', 2019)",director
Rajinikanth,"('Thalapathi', 1991)",actor
Mammootty,"('Thalapathi', 1991)",actor
Shobana,"('Thalapathi', 1991)",actor
Arvind Swami,"('Thalapathi', 1991)",actor
Mani Ratnam,"('Thalapathi', 1991)",director
Kemal Sunal,"('Zübük', 1980)",actor
Nevra Serezli,"('Zübük', 1980)",actor
Metin Serezli,"('Zübük', 1980)",actor
Kadir Savun,"('Zübük', 1980)",actor
Kartal Tibet,"('Zübük', 1980)",director
Jack Nicholson,"('The Shining', 1980)",actor
Shelley Duvall,"('The Shining', 1980)",actor
Danny Lloyd,"('The Shining', 1980)",actor
Scatman Crothers,"('The Shining', 1980)",actor
Stanley Kubrick,"('The Shining', 1980)",director
Joaquin Phoenix,"('Joker', 2019)",actor
Robert De Niro,"('Joker', 2019)",actor
Zazie Beetz,"('Joker', 2019)",actor
Frances Conroy,"('Joker', 2019)",actor
Todd Phillips,"('Joker', 2019)",director
Christian Bale,"('The Dark Knight Rises', 2012)",actor
Tom Hardy,"('The Dark Knight Rises', 2012)",actor
Anne Hathaway,"('The Dark Knight Rises', 2012)",actor
Gary Oldman,"('The Dark Knight Rises', 2012)",actor
Christopher Nolan,"('The Dark Knight Rises', 2012)",director
Sigourney Weaver,"('Aliens', 1986)",actor
Michael Biehn,"('Aliens', 1986)",actor
Carrie Henn,"('Aliens', 1986)",actor
Paul Reiser,"('Aliens', 1986)",actor
James Cameron,"('Aliens', 1986)",director
Robert Downey Jr.,"('Avengers: Endgame', 2019)",actor
Chris Evans,"('Avengers: Endgame', 2019)",actor
Mark Ruffalo,"('Avengers: Endgame', 2019)",actor
Chris Hemsworth,"('Avengers: Endgame', 2019)",actor
Anthony Russo,"('Avengers: Endgame', 2019)",director
Joe Russo,"('Avengers: Endgame', 2019)",director
Choi Min-Sik,"('Oldboy', 2003)",actor
Yoo Ji-Tae,"('Oldboy', 2003)",actor
Kang Hye-Jeong,"('Oldboy', 2003)",actor
Kim Byeong-Ok,"('Oldboy', 2003)",actor
Park Chan-Wook,"('Oldboy', 2003)",director
F. Murray Abraham,"('Amadeus', 1984)",actor
Tom Hulce,"('Amadeus', 1984)",actor
Elizabeth Berridge,"('Amadeus', 1984)",actor
Roy Dotrice,"('Amadeus', 1984)",actor
Milos Forman,"('Amadeus', 1984)",director
Shameik Moore,"('Spider-Man: Into the Spider-Verse', 2018)",actor
Jake Johnson,"('Spider-Man: Into the Spider-Verse', 2018)",actor
Hailee Steinfeld,"('Spider-Man: Into the Spider-Verse', 2018)",actor
Mahershala Ali,"('Spider-Man: Into the Spider-Verse', 2018)",actor
Bob Persichetti,"('Spider-Man: Into the Spider-Verse', 2018)",director
Peter Ramsey,"('Spider-Man: Into the Spider-Verse', 2018)",director
Rodney Rothman,"('Spider-Man: Into the Spider-Verse', 2018)",director
Harrison Ford,"('Raiders of the Lost Ark', 1981)",actor
Karen Allen,"('Raiders of the Lost Ark', 1981)",actor
Paul Freeman,"('Raiders of the Lost Ark', 1981)",actor
John Rhys-Davies,"('Raiders of the Lost Ark', 1981)",actor
Steven Spielberg,"('Raiders of the Lost Ark', 1981)",director
Aleksey Kravchenko,"('Come and See', 1985)",actor
Olga Mironova,"('Come and See', 1985)",actor
Liubomiras Laucevicius,"('Come and See', 1985)",actor
Vladas Bagdonas,"('Come and See', 1985)",actor
Elem Klimov,"('Come and See', 1985)",director
Guy Pearce,"('Memento', 2000)",actor
Carrie-Anne Moss,"('Memento', 2000)",actor
Joe Pantoliano,"('Memento', 2000)",actor
Mark Boone Junior,"('Memento', 2000)",actor
Christopher Nolan,"('Memento', 2000)",director
Anthony Gonzalez,"('Coco', 2017)",actor
Gael Garcia Bernal,"('Coco', 2017)",actor
Benjamin Bratt,"('Coco', 2017)",actor
Alanna Ubach,"('Coco', 2017)",actor
Lee Unkrich,"('Coco', 2017)",director
Adrian Molina,"('Coco', 2017)",director
Robert Downey Jr.,"('Avengers: Infinity War', 2018)",actor
Chris Hemsworth,"('Avengers: Infinity War', 2018)",actor
Mark Ruffalo,"('Avengers: Infinity War', 2018)",actor
Chris Evans,"('Avengers: Infinity War', 2018)",actor
Anthony Russo,"('Avengers: Infinity War', 2018)",director
Joe Russo,"('Avengers: Infinity War', 2018)",director
Ben Burtt,"('WALL·E', 2008)",actor
Elissa Knight,"('WALL·E', 2008)",actor
Jeff Garlin,"('WALL·E', 2008)",actor
Fred Willard,"('WALL·E', 2008)",actor
Andrew Stanton,"('WALL·E', 2008)",director
Aamir Khan,"('3 Idiots', 2009)",actor
Madhavan,"('3 Idiots', 2009)",actor
Mona Singh,"('3 Idiots', 2009)",actor
Sharman Joshi,"('3 Idiots', 2009)",actor
Rajkumar Hirani,"('3 Idiots', 2009)",director
Ryunosuke Kamiki,"('Your Name.', 2016)",actor
Mone Kamishiraishi,"('Your Name.', 2016)",actor
Ryo Narita,"('Your Name.', 2016)",actor
Aoi Yuki,"('Your Name.', 2016)",actor
Makoto Shinkai,"('Your Name.', 2016)",director
Ulrich Muhe,"('The Lives of Others', 2006)",actor
Martina Gedeck,"('The Lives of Others', 2006)",actor
Sebastian Koch,"('The Lives of Others', 2006)",actor
Ulrich Tukur,"('The Lives of Others', 2006)",actor
Florian Henckel Von Donnersmarck,"('The Lives of Others', 2006)",director
Zain Al Rafeea,"('Capernaum', 2018)",actor
Yordanos Shiferaw,"('Capernaum', 2018)",actor
Boluwatife Treasure Bankole,"('Capernaum', 2018)",actor
Kawsar Al Haddad,"('Capernaum', 2018)",actor
Nadine Labaki,"('Capernaum', 2018)",director
Jurgen Prochnow,"('Das Boot', 1981)",actor
Herbert Gronemeyer,"('Das Boot', 1981)",actor
Klaus Wennemann,"('Das Boot', 1981)",actor
Hubertus Bengsch,"('Das Boot', 1981)",actor
Wolfgang Petersen,"('Das Boot', 1981)",director
Karthi,"('Kaithi', 2019)",actor
Narain,"('Kaithi', 2019)",actor
Arjun Das,"('Kaithi', 2019)",actor
George Maryan,"('Kaithi', 2019)",actor
Lokesh Kanagaraj,"('Kaithi', 2019)",director
Vicky Kaushal,"('Sardar Udham', 2021)",actor
Shaun Scott,"('Sardar Udham', 2021)",actor
Stephen Hogan,"('Sardar Udham', 2021)",actor
Amol Parashar,"('Sardar Udham', 2021)",actor
Shoojit Sircar,"('Sardar Udham', 2021)",director
Sushant Singh Rajput,"('Dil Bechara', 2020)",actor
Sanjana Sanghi,"('Dil Bechara', 2020)",actor
Sahil Vaid,"('Dil Bechara', 2020)",actor
Saswata Chatterjee,"('Dil Bechara', 2020)",actor
Mukesh Chhabra,"('Dil Bechara', 2020)",director
Mohanlal,"('Drishyam 2', 2021)",actor
Meena,"('Drishyam 2', 2021)",actor
Ansiba,"('Drishyam 2', 2021)",actor
Esther Anil,"('Drishyam 2', 2021)",actor
Jeethu Joseph,"('Drishyam 2', 2021)",director
Dhanush,"('Asuran', 2019)",actor
Manju Warrier,"('Asuran', 2019)",actor
Prakash Raj,"('Asuran', 2019)",actor
Pasupathy,"('Asuran', 2019)",actor
Vetrimaaran,"('Asuran', 2019)",director
Kay Kay Menon,"('Black Friday', 2004)",actor
Pawan Malhotra,"('Black Friday', 2004)",actor
Aditya Srivastav,"('Black Friday', 2004)",actor
Dibyendu Bhattacharya,"('Black Friday', 2004)",actor
Anurag Kashyap,"('Black Friday', 2004)",director
Parviz Parastui,"('The Lizard', 2004)",actor
Bahram Ebrahimi,"('The Lizard', 2004)",actor
Reza Saeedi,"('The Lizard', 2004)",actor
Shahrokh Foroutanian,"('The Lizard', 2004)",actor
Kamal Tabrizi,"('The Lizard', 2004)",director
Dhanush,"('Vada Chennai', 2018)",actor
Ameer Sultan,"('Vada Chennai', 2018)",actor
Radha Ravi,"('Vada Chennai', 2018)",actor
Daniel Balaji,"('Vada Chennai', 2018)",actor
Vetrimaaran,"('Vada Chennai', 2018)",director
Sergej Trifunovic,"(""When I Grow Up, I'll Be a Kangaroo"", 2004)",actor
Marija Karan,"(""When I Grow Up, I'll Be a Kangaroo"", 2004)",actor
Nebojsa Glogovac,"(""When I Grow Up, I'll Be a Kangaroo"", 2004)",actor
