person,rating,genre,movie_count
Adriane Lenox,6.2,Drama,1
Adrianne Palicki,5.7,Action,1
Adriano Giannini,7.5,Crime,1
Adriano Tardiolo,7.5,Drama,1
Adrien Brody,6.51304347826087,Action,23
Adrienne Barbeau,6.1,Horror,4
Adrienne King,6.25,Horror,2
Adrienne Pickering,5.8,Adventure,1
Adrienne Shelly,7.4,Comedy,1
Adrija Sinha,6.7,Action,1
Aeryk Egan,7.7,Adventure,1
Affion Crockett,6.6,Comedy,1
Afiya Bennett,6.1,Crime,1
Afshin Khorshid Bakhtiari,7.7,Drama,1
Aftab Shivdasani,7.6,Comedy,1
Agame Malembo-Emene,7.5,Drama,1
Agata Buzek,6.75,Drama,2
Agata Kulesza,7.2,Drama,4
Agata Trzebuchowska,7.4,Drama,1
Agathe Natanson,7.2,Drama,1
Agathe Rousselle,6.5,Drama,1
Agga Olsen,6.3,Crime,1
Agnes Brekke,6.5,Drama,1
Agnes Bruckner,5.533333333333334,Horror,3
Agnes Jaoui,7.2,Comedy,1
Agnes Kittelsen,7.3,Action,1
Agnese Graziani,7.5,Drama,1
Agnieszka Grochowska,7.3,Drama,1
Agniya Kuznetsova,7.1,Crime,1
Ah-Lei Gua,7.6,Comedy,1
Ahd,7.5,Comedy,1
Ahilleas Skevis,7.9,Drama,1
Ahmad Ibn Umar,5.6,Comedy,1
Ahmad Khan Mahmoodzada,7.6,Drama,1
Ahmaogak Sweeney,6.5,Biography,1
Ahmed Ahmed Poor,8.1,Drama,1
Ahmed Saddam,7.9,Comedy,1
Ahmet Cevik,7.7,Action,1
Ahmet Kural,6.766666666666667,Comedy,3
Ahmet Mumtaz Taylan,7.699999999999999,Crime,2
Ahmet Rifat Sungar,7.3,Drama,1
Ahmet Ugurlu,7.7,Drama,1
Ahn Nae-Sang,7.8,Drama,2
Ahna O'Reilly,5.4,Drama,1
Ahney Her,8.1,Drama,1
Ahu Turkpence,7.85,Action,2
Ai Kakuma,5.6,Animation,1
Ai Kobayashi,6.9,Animation,1
Aidan Gillen,6.640000000000001,Action,5
Aidan Quinn,6.63,Drama,10
Aidan Turner,5.7,Adventure,1
Aiden Flowers,5.5,Comedy,1
Aiden Longworth,6.3,Drama,1
Aileen Quinn,6.6,Comedy,1
Aimee Garcia,6.6,Comedy,1
Aimee Lou Wood,7.2,Drama,1
Aimee Mckay,6.0,Drama,1
Aimee Teegarden,5.4,Comedy,1
Aisha Dee,6.3,Comedy,1
Aishwarya Lekshmi,5.8,Action,1
Aishwarya Rai Bachchan,6.921428571428572,Action,14
Aisling Franciosi,6.699999999999999,Adventure,2
Aissa Maiga,7.0,Biography,1
Aitana Sanchez-Gijon,7.2,Drama,4
Aizhan Lighg,6.2,Action,1
Aj Bowen,6.033333333333334,Drama,3
Aj Meijer,6.3,Comedy,1
Aj Michalka,7.0,Action,1
Aja Naomi King,7.0,Comedy,1
Ajay Devgn,7.140909090909091,Action,22
Ajay Naidu,7.6,Comedy,1
Ajiona Alexus,5.5,Action,1
Ajith Kumar,6.633333333333334,Action,9
Aju Varghese,7.8,Action,1
Akari Kito,8.2,Animation,1
Akash Thosar,8.3,Drama,1
Akemi Okamura,6.7,Animation,1
Akemi Yamaguchi,8.5,Animation,1
Akhil Iyer,6.8,Action,1
Akhilendra Mishra,8.1,Action,1
Aki Maeda,7.3,Action,2
Akihiro Miwa,8.2,Animation,1
Akiko Iwase,7.2,Drama,1
Akio Otsuka,7.75,Animation,4
Akira Ishida,8.0,Animation,1
Akira Terao,7.3,Action,3
Akiva Schaffer,6.7,Comedy,1
Akkineni Nageswara Rao,7.9,Comedy,1
Aksel Hennie,6.716666666666666,Action,6
Akshara Haasan,5.2,Action,1
Akshay Kumar,6.595744680851064,Comedy,47
Akshaye Khanna,7.625,Crime,8
Aku Hirviniemi,7.7,Drama,1
Akuol Ngot,5.4,Action,1
Al Madrigal,6.7,Drama,1
Al Michaels,5.9,Adventure,1
Al Pacino,6.793548387096774,Crime,31
Alain Chabat,7.3,Comedy,3
Alain Delon,5.2,Adventure,1
Alain Hernandez,7.0,Drama,2
Alain Lathiere,7.3,Action,1
Alain Moussi,4.9,Action,1
Alakina Mann,7.6,Horror,1
Alan Alda,6.628571428571428,Comedy,7
Alan Arkin,6.735294117647059,Comedy,17
Alan Bates,6.7,Drama,1
Alan Blumenfeld,5.8,Drama,1
Alan Boyle,7.1,Comedy,1
Alan Cox,6.8,Adventure,1
Alan Cumming,6.475,Comedy,4
Alan Davies,6.3,Comedy,1
Alan Howard,7.5,Crime,1
Alan Kim,7.4,Drama,1
Alan King,7.0,Comedy,2
Alan Ladd,6.8,Comedy,1
Alan North,7.4,Drama,1
Alan Randolph Scott,7.7,Comedy,1
Alan Rickman,7.05,Action,12
Alan Ritchson,5.65,Comedy,2
Alan Ruck,7.8,Comedy,1
Alan Tam,6.9,Action,1
Alan Tudyk,7.55,Action,4
Alan Young,6.8,Animation,1
Alana Haim,7.1,Comedy,1
Alana O'Brien,6.3,Adventure,1
Alanna Ubach,8.4,Animation,1
Alastair Duncan,6.0,Action,1
Alastair Galbraith,6.1,Drama,1
Alaya F,7.4,Drama,1
Alba Baptista,7.1,Comedy,1
Alba Rohrwacher,7.25,Drama,2
Alban Lenoir,6.449999999999999,Action,2
Albert Brooks,6.944444444444445,Comedy,9
Albert Delpy,6.3,Comedy,2
Albert Dupontel,7.35,Comedy,2
Albert Finney,7.2,Crime,8
Albert Hall,6.1,Comedy,1
Albert Sinkys,6.8,Crime,1
Albert Tsai,7.0,Animation,1
Alberta Watson,5.7,Drama,1
Alberto Ammann,7.1,Action,2
Alberto Reyes,5.9,Action,1
Alberto San Juan,7.2,Crime,1
Albrecht Schuch,7.8,Action,2
Alden Ehrenreich,6.4,Drama,5
Aldis Hodge,6.6499999999999995,Drama,4
Alec Baldwin,6.521875,Comedy,32
Alec Newman,6.2,Action,1
Alec Secareanu,7.6,Drama,1
Alejandro Rey,6.5,Comedy,1
Alejo Sauras,6.6,Mystery,1
Alek Skarlatos,5.3,Biography,1
Aleks Mikic,6.5,Comedy,1
Aleksandar Bercek,8.7,Adventure,1
Aleksander Holmen,7.2,Drama,1
Aleksandr Baluev,6.0,Action,1
Aleksandr Fatyushin,8.1,Comedy,1
Aleksandr Korshunov,7.4,Action,1
Aleksandr Samoylenko,7.2,Action,1
Aleksandra Konieczna,7.7,Drama,1
Aleksey Batalov,8.1,Comedy,1
Aleksey Chadov,6.6,Action,2
Aleksey Guskov,7.5,Comedy,1
Aleksey Kopashov,7.4,Action,1
Aleksey Kravchenko,8.4,Drama,1
Aleksey Maklakov,6.3,Action,1
Aleksey Petrenko,7.7,Comedy,1
Aleksey Poluyan,7.1,Crime,1
Aleksey Rozin,7.449999999999999,Drama,2
Aleksey Serebryakov,7.366666666666667,Crime,3
Alessandro Borghi,7.2,Action,2
Alessandro Gassmann,6.3,Action,1
Alessandro Nivola,6.417647058823529,Action,17
Alessandro Preziosi,7.2,Comedy,1
Alessandro Siani,6.6,Comedy,1
Alessia Cara,6.4,Animation,1
Alessio Boni,7.65,Drama,2
Alessio Scalzotto,5.2,Action,1
Alex Ahlstrom,6.2,Action,1
Alex Aiono,6.1,Action,1
Alex Angulo,7.3,Action,1
Alex Borstein,7.5,Animation,1
Alex Casanovas,6.5,Comedy,1
Alex Cox,6.8,Animation,1
Alex D. Linz,6.5,Comedy,1
Alex Daniels,5.0,Action,1
Alex Datcher,5.9,Action,1
Alex Descas,6.2,Crime,1
Alex Esmail,6.7,Action,1
Alex Etel,6.6,Comedy,2
Alex Fisher,6.1,Horror,1
Alex Frost,6.4,Crime,2
Alex Gravenstein,6.6,Drama,1
Alex Hassell,6.233333333333333,Drama,3
Alex Haw,7.5,Crime,1
Alex Haydon,5.7,Action,1
Alex Huff,7.3,Comedy,1
Alex Jennings,7.033333333333334,Biography,3
Alex Karras,5.9,Action,1
Alex Kendrick,6.7,Drama,2
Alex Lee,6.6,Drama,1
Alex Lutz,6.75,Action,2
Alex Macnicoll,5.3,Action,1
Alex Macqueen,5.7,Comedy,1
Alex Man,7.0,Crime,1
Alex Mcarthur,6.6,Crime,1
Alex Monner,5.0,Horror,1
Alex Murphy,7.0,Adventure,1
Alex Neustaedter,5.3,Drama,2
Alex O'Loughlin,5.3,Comedy,1
Alex Palmer,7.5,Drama,1
Alex Pettyfer,5.8999999999999995,Comedy,6
Alex R. Hibbert,7.4,Drama,1
Alex Reid,6.65,Adventure,2
Alex Rocco,7.0,Biography,1
Alex Roe,6.5,Comedy,2
Alex Russell,6.85,Action,2
Alex Scott,6.8,Crime,1
Alex Sharp,6.44,Drama,5
Alex Van Warmerdam,6.7,Drama,1
Alex Veadov,6.4,Action,1
Alex Vincent,5.933333333333334,Horror,3
Alex Winter,6.366666666666667,Adventure,3
Alex Wolff,6.55,Drama,4
Alexa Adeosun,6.1,Comedy,1
Alexa Davalos,6.8,Action,2
Alexa Demie,7.5,Drama,1
Alexa Penavega,5.616666666666667,Action,6
Alexander England,6.55,Action,2
Alexander Fehling,7.3,Drama,2
Alexander Godunov,6.4,Comedy,1
Alexander Goodwin,6.0,Horror,1
Alexander Gould,8.2,Animation,1
Alexander Held,7.6,Biography,1
Alexander Ludwig,5.9799999999999995,Action,5
Alexander Morton,6.5,Crime,2
Alexander Petrov,6.199999999999999,Action,2
Alexander Polinsky,6.7,Action,1
Alexander Scheer,6.3,Action,2
Alexander Siddig,5.9,Action,1
Alexander Skarsgard,6.3133333333333335,Action,15
Alexander Zale,5.4,Action,1
Alexandra Adi,5.7,Comedy,1
Alexandra Borbely,7.5,Drama,1
Alexandra Daddario,5.777777777777778,Comedy,9
Alexandra Dahlstrom,7.5,Comedy,1
Alexandra Dinu,5.8,Action,1
Alexandra Essoe,6.05,Horror,2
Alexandra Holden,6.5,Adventure,1
Alexandra Jimenez,6.8,Comedy,1
Alexandra Maria Lara,7.099999999999999,Biography,6
Alexandra Moen,6.7,Biography,1
Alexandra Park,5.2,Horror,1
Alexandra Paul,6.7,Horror,1
Alexandra Roach,6.8,Biography,1
Alexandra Shipp,6.416666666666667,Comedy,6
Alexandra Stewart,7.1,Drama,1
Alexandre Astier,6.800000000000001,Animation,2
Alexandre Hamidi,7.1,Drama,1
Alexandre Rodrigues,8.6,Crime,1
Alexandre Tharaud,7.9,Drama,1
Alexandria M. Salling,7.2,Drama,1
Alexandru Papadopol,7.5,Comedy,1
Alexandru Potocean,7.9,Drama,1
Alexia Landeau,6.3,Drama,2
Alexie Gilmore,5.1,Horror,1
Alexis Arquette,6.3,Comedy,1
Alexis Bledel,6.1499999999999995,Comedy,6
Alexis Clagett,6.5,Comedy,1
Alexis Denisof,7.0,Comedy,1
Alexis Diaz De Villegas,6.4,Action,1
Alexis Dziena,5.95,Comedy,2
Alexis Georgoulis,5.9,Comedy,1
Alexis Kirschner,6.1,Animation,1
Alexis Louder,6.2,Action,1
Alexis Manenti,7.6,Crime,1
Alexis Servaes,5.3,Drama,1
Alexis Zegerman,7.0,Comedy,1
Alexsandra Wright,6.4,Crime,1
Alexxis Lemire,6.9,Comedy,1
Alexz Johnson,5.8,Horror,1
Alfie Allen,7.4,Action,1
Alfonso Arau,6.5,Comedy,1
Alfonso Arfi,7.5,Animation,1
Alfonso Tort,7.5,Adventure,1
Alfre Woodard,6.628571428571428,Comedy,7
Alfred Molina,6.60625,Action,16
Alfredo Castro,7.300000000000001,Drama,2
Alfredo Tavares,7.1,Comedy,1
Algee Smith,6.1,Crime,2
Ali Afshar,5.8,Comedy,1
Ali Atay,7.7,Drama,1
Ali Catalbas,7.3,Comedy,2
Ali Dusenkalkar,8.0,Drama,1
Ali Fazal,6.85,Comedy,2
Ali Hillis,5.2,Adventure,1
Ali Larter,5.8999999999999995,Action,7
Ali Mosaffa,7.7,Drama,1
Ali Reza Shoja'Noori,7.3,Biography,1
Ali Suliman,7.633333333333333,Drama,3
Ali Wong,6.8,Comedy,1
Ali Zafar,7.2,Comedy,1
Alia Bhatt,6.8533333333333335,Comedy,15
Alia Shawkat,6.475,Drama,4
Alican Akman,7.7,Drama,1
Alice Bahlke,6.4,Horror,1
Alice Barrett,6.0,Crime,1
Alice Braga,6.1,Action,9
Alice David,6.7,Comedy,1
Alice Englert,6.15,Drama,2
Alice Eve,6.277777777777778,Comedy,9
Alice Feetham,7.5,Drama,1
Alice Greczyn,5.1,Comedy,1
Alice Isaaz,6.2,Comedy,1
Alice Krige,5.766666666666667,Comedy,6
Alice Lee,6.8,Comedy,1
Alice Lowe,6.8,Drama,2
Alice Macdonald,5.3,Drama,1
Alice Rahimi,7.3,Crime,1
Alice Taglioni,6.6,Comedy,1
Alicia Ambrose-Bayly,6.2,Thriller,1
Alicia Keys,7.2,Drama,1
Alicia Silverstone,6.085714285714286,Comedy,7
Alicia Van Couvering,6.9,Comedy,1
Alicia Vikander,6.626666666666667,Action,15
Alicia Von Rittberg,7.5,Drama,1
Alicia Witt,5.95,Comedy,4
Alicja Bachleda,6.8,Drama,1
Alina Berzunteanu,7.8,Comedy,1
Aline Kuppenheim,7.45,Biography,2
Alisan Porter,5.9,Comedy,1
Alisha Wainwright,7.2,Drama,1
Alisha Weir,7.0,Comedy,1
Alison Barry,6.8,Drama,1
Alison Bartlett,5.5,Drama,1
Alison Brie,6.2555555555555555,Comedy,9
Alison Crosbie,8.1,Biography,1
Alison Doody,8.2,Action,1
Alison Eastwood,6.3,Crime,1
Alison Garland,7.5,Drama,1
Alison Lohman,6.9,Drama,5
Alison Pill,6.32,Comedy,5
Alison Routledge,6.7,Drama,1
Alison Steadman,7.4,Comedy,1
Alison Sudol,7.0,Adventure,2
Alison Whelan,7.8,Biography,1
Alistair Abell,6.1,Animation,1
Alistair Petrie,6.2,Fantasy,1
Aliya Astaphan,7.4,Action,1
Alka Amin,7.1,Drama,2
Allan Corduner,7.4,Biography,1
Allan Edwall,7.9,Drama,1
Allan Gildea,7.6,Drama,1
Allegra Masters,6.0,Drama,1
Allen Covert,6.2,Comedy,4
Allen Garfield,7.0,Action,1
Allen Leech,6.75,Biography,2
Allen Payne,6.4,Action,2
Allie Mickelson,7.3,Biography,1
Allison Barron,6.1,Comedy,1
Allison Cratchley,5.9,Action,1
Allison Dawn Doiron,5.3,Horror,1
Allison Janney,6.6,Comedy,15
Allison Miller,5.2,Action,1
Allison Siko,7.2,Drama,1
Allison Tolman,6.6,Drama,2
Allison Williams,6.8,Horror,3
Allu Arjun,7.3999999999999995,Action,3
Ally Ioannides,6.2,Drama,1
Ally Sheedy,6.88,Comedy,5
Ally Walker,6.199999999999999,Comedy,2
Almanta Suska,6.3,Horror,1
Almudena Amor,7.1,Comedy,1
Alok Nath,7.0,Drama,3
Alondra Hidalgo,6.1,Action,1
Alonna Shaw,5.6,Action,1
Alper Kul,7.6,Action,1
Altan Erkekli,7.275,Comedy,4
Alva Brynsmo Ramstad,7.0,Drama,1
Alvaro Cervantes,6.8,Action,1
Alvaro Guerrero,8.1,Drama,1
Alvaro Morte,7.4,Drama,1
Alvin Alexis,6.1,Comedy,1
Alwara Hofels,6.5,Comedy,1
Aly Michalka,6.3,Comedy,1
Alycia Debnam-Carey,5.2,Horror,1
Alycia Pascual-Pena,6.7,Comedy,1
Alyson Court,6.4,Animation,1
Alyson Hannigan,6.2,Comedy,4
Alyson Stoner,6.2,Drama,1
Alyssa Milano,5.7,Crime,2
Alysson Paradis,6.7,Horror,1
Amadou Mbow,6.7,Drama,1
Amadu Mamadakov,7.2,Action,1
Amala Akkineni,7.6,Adventure,1
Amala Paul,6.825,Action,4
Amalia Vitale,6.8,Animation,1
Amanda Bearse,7.0,Horror,1
Amanda Bynes,6.18,Comedy,5
Amanda Christine,6.2,Horror,1
Amanda Crew,6.533333333333334,Drama,3
Amanda Davin,6.9,Comedy,1
Amanda De Cadenet,6.7,Comedy,1
Amanda Detmer,5.5,Adventure,1
Amanda Donohoe,6.7,Comedy,3
Amanda Fuller,6.0,Horror,1
Amanda Langlet,7.3,Comedy,1
Amanda Lear,6.5,Animation,1
Amanda Pays,5.8,Adventure,1
Amanda Peet,6.138461538461538,Comedy,13
Amanda Peterson,6.8,Comedy,1
Amanda Plummer,6.35,Comedy,2
Amanda Redman,7.3,Crime,1
Amanda Righetti,5.5,Horror,1
Amanda Schull,6.050000000000001,Drama,2
Amanda Seyfried,6.276190476190477,Comedy,21
Amanda Smith,7.5,Drama,1
Amandla Stenberg,6.425,Crime,4
Amara Karan,6.5,Adventure,2
Amara Miller,7.3,Comedy,1
Amber Armstrong,6.3,Horror,1
Amber Benson,7.0,Comedy,1
Amber Heard,5.941666666666666,Action,12
Amber Lynn Ashley,5.7,Drama,1
Amber Midthunder,6.35,Action,2
Amber Rose Revah,5.7,Biography,1
Amber Tamblyn,6.2,Comedy,5
Amber Valletta,6.0,Action,6
Ambyr Childers,5.9,Drama,1
Ameer Sultan,8.4,Action,1
Ameesha Patel,7.2,Action,3
Amelia Crouch,5.8,Action,1
Amelia Pidgeon,6.5,Biography,1
America Ferrera,6.925,Comedy,4
America Olivo,6.1,Horror,1
Amerie,5.1,Comedy,1
Amie Carey,6.7,Comedy,1
Amie Donald,6.4,Horror,1
Amir Farrokh Hashemian,8.2,Drama,1
Amir Jadidi,7.5,Drama,1
Amir Talai,6.2,Comedy,1
Amira Casar,7.8,Drama,1
Amira Chemakhi,7.6,Drama,1
Amit Sadh,7.4,Drama,2
Amit Sial,7.4,Action,1
Amitabh Bachchan,7.117391304347826,Drama,23
Aml Ameen,6.7,Crime,1
Amol Parashar,8.4,Biography,1
Amr Waked,6.6,Comedy,2
Amrish Puri,7.1000000000000005,Action,12
Amrita Puri,7.8,Drama,1
Amrita Rao,7.05,Comedy,2
Amrita Singh,7.35,Crime,2
Amruta Subhash,7.0,Action,1
Amy Acker,7.0,Comedy,1
Amy Adams,6.892592592592592,Drama,27
Amy Brenneman,6.35,Comedy,4
Amy Doyle,6.4,Drama,1
Amy Forsyth,5.35,Horror,2
Amy Hargreaves,6.566666666666666,Crime,3
Amy Huberman,7.0,Comedy,1
Amy Irving,6.733333333333333,Comedy,3
Amy Jackson,6.933333333333334,Action,3
Amy Landecker,5.9,Drama,2
Amy Locane,6.5,Comedy,1
Amy Madigan,6.9,Drama,4
Amy Morton,6.1,Comedy,1
Amy Poehler,6.090909090909091,Comedy,11
Amy Price-Francis,5.8,Fantasy,1
Amy Russ,7.2,Comedy,1
Amy Ryan,6.94,Biography,10
Amy Schumer,5.9,Comedy,2
Amy Sedaris,5.9,Animation,1
Amy Seimetz,6.375,Horror,4
Amy Smart,6.544444444444444,Action,9
Amy Steel,6.1,Horror,1
Amy Wright,6.7,Drama,1
Amy Yasbeck,6.7,Adventure,1
An Nguyen,7.1,Comedy,1
Ana Claudia Talancon,6.7,Drama,1
Ana De Armas,6.208333333333333,Action,12
Ana De La Reguera,5.85,Action,4
Ana Fernandez,6.1,Adventure,1
Ana Gasteyer,5.45,Adventure,2
Ana Javakishvili,7.6,Drama,1
Ana Lopez Mercado,7.7,Drama,1
Ana Torrent,7.4,Crime,1
Ana Wagener,8.0,Crime,1
Anais Demoustier,6.5,Drama,1
Anais Evans,6.2,Drama,1
Anais Reboux,6.4,Drama,1
Anamaria Marinca,7.25,Drama,2
Anamaria Vartolomei,7.4,Drama,1
Anand Tiwari,7.1,Action,2
Anand Upadhyaya,6.7,Drama,1
Ananda Everingham,7.0,Horror,1
Ananda George,7.6,Action,1
Anandhi,8.55,Drama,2
Anant Vidhaat,7.3,Action,1
Ananya Nagalla,7.0,Action,1
Ananya Panday,5.8,Drama,1
Anastasia Hille,5.5,Horror,1
Anastasia Phillips,6.4,Drama,1
Anastasios Soulis,5.5,Drama,1
Anatoli Davydov,6.3,Action,1
Anders Baasmo,7.1,Action,1
Anders Danielsen Lie,6.933333333333334,Drama,6
Anders Holm,6.25,Comedy,2
Anders Juul,6.6,Animation,1
Anders Matthesen,7.1,Animation,1
Anders W. Berthelsen,7.0,Comedy,1
Andi Matichak,5.666666666666667,Crime,3
Andi Osho,5.5,Adventure,1
Andi Vasluianu,7.5,Comedy,1
Andie Macdowell,6.3,Comedy,15
Andra Day,6.3,Biography,1
Andre 3000,6.26,Action,5
Andre Braugher,6.533333333333334,Horror,3
Andre Dussollier,7.05,Drama,8
Andre Gower,6.9,Action,1
Andre Gregory,7.7,Comedy,1
Andre Hennicke,6.1,Drama,1
Andre Holland,6.7,Drama,1
Andre Marcon,6.9,Drama,1
Andre Penvern,5.7,Biography,1
Andre Ramiro,8.0,Action,2
Andre Royo,5.9,Action,1
Andre Sogliuzzo,5.0,Animation,1
Andre Szymanski,7.3,Drama,1
Andre Vippolis,7.0,Comedy,1
Andre Wilms,7.4,Drama,2
Andrea Bang,6.7,Horror,1
Andrea Bendewald,6.1,Comedy,1
Andrea Berntzen,7.2,Drama,1
Andrea Bowen,5.9,Comedy,1
Andrea Corr,6.2,Animation,1
Andrea Duro,6.4,Action,1
Andrea Eckert,8.1,Drama,1
Andrea Ferreol,7.3,Drama,1
Andrea Frigerio,7.5,Comedy,1
Andrea Heick Gadeberg,7.5,Action,1
Andrea James,7.4,Adventure,1
Andrea Kevichusa,6.5,Action,1
Andrea Marcovicci,5.9,Comedy,1
Andrea Martin,5.7,Comedy,1
Andrea Occhipinti,6.3,Horror,1
Andrea Riseborough,6.730769230769231,Comedy,13
Andrea Roth,6.3,Horror,1
Andrea Tariang,7.9,Crime,2
Andreas Lust,7.5,Crime,1
Andreas Schroders,7.3,Comedy,1
Andreas Sobik,5.4,Action,1
Andreas Wilson,7.7,Drama,1
